c = 0x0120, r = 0x0108
c = 0x0121, r = 0x4148
c = 0x0122, r = 0x81c8
c = 0x0123, r = 0xc188
c = 0x0124, r = 0x0189
c = 0x0125, r = 0x41c9
c = 0x0126, r = 0x8149
c = 0x0127, r = 0xc109
c = 0x0128, r = 0x010a
c = 0x0129, r = 0x414a
c = 0x012a, r = 0x81ca
c = 0x012b, r = 0xc18a
c = 0x012c, r = 0x018b
c = 0x012d, r = 0x41cb
c = 0x012e, r = 0x814b
c = 0x012f, r = 0xc10b
c = 0x0130, r = 0x010c
c = 0x0131, r = 0x414c
c = 0x0132, r = 0x81cc
c = 0x0133, r = 0xc18c
c = 0x0134, r = 0x018d
c = 0x0135, r = 0x41cd
c = 0x0136, r = 0x814d
c = 0x0137, r = 0xc10d
c = 0x0138, r = 0x010e
c = 0x0139, r = 0x414e
c = 0x013a, r = 0x81ce
c = 0x013b, r = 0xc18e
c = 0x013c, r = 0x018f
c = 0x013d, r = 0x41cf
c = 0x013e, r = 0x814f
c = 0x013f, r = 0xc10f
c = 0x0140, r = 0x0110
c = 0x0141, r = 0x4150
c = 0x0142, r = 0x81d0
c = 0x0143, r = 0xc190
c = 0x0144, r = 0x0191
c = 0x0145, r = 0x41d1
c = 0x0146, r = 0x8151
c = 0x0147, r = 0xc111
c = 0x0148, r = 0x0112
c = 0x0149, r = 0x4152
c = 0x014a, r = 0x81d2
c = 0x014b, r = 0xc192
c = 0x014c, r = 0x0193
c = 0x014d, r = 0x41d3
c = 0x014e, r = 0x8153
c = 0x014f, r = 0xc113
c = 0x0150, r = 0x0114
c = 0x0151, r = 0x4154
c = 0x0152, r = 0x81d4
c = 0x0153, r = 0xc194
c = 0x0154, r = 0x0195
c = 0x0155, r = 0x41d5
c = 0x0156, r = 0x8155
c = 0x0157, r = 0xc115
c = 0x0158, r = 0x0116
c = 0x0159, r = 0x4156
c = 0x015a, r = 0x81d6
c = 0x015b, r = 0xc196
c = 0x015c, r = 0x0197
c = 0x015d, r = 0x41d7
c = 0x015e, r = 0x8157
c = 0x015f, r = 0xc117
c = 0x0160, r = 0x0118
c = 0x0161, r = 0x4158
c = 0x0162, r = 0x81d8
c = 0x0163, r = 0xc198
c = 0x0164, r = 0x0199
c = 0x0165, r = 0x41d9
c = 0x0166, r = 0x8159
c = 0x0167, r = 0xc119
c = 0x0168, r = 0x011a
c = 0x0169, r = 0x415a
c = 0x016a, r = 0x81da
c = 0x016b, r = 0xc19a
c = 0x016c, r = 0x019b
c = 0x016d, r = 0x41db
c = 0x016e, r = 0x815b
c = 0x016f, r = 0xc11b
c = 0x0170, r = 0x011c
c = 0x0171, r = 0x415c
c = 0x0172, r = 0x81dc
c = 0x0173, r = 0xc19c
c = 0x0174, r = 0x019d
c = 0x0175, r = 0x41dd
c = 0x0176, r = 0x815d
c = 0x0177, r = 0xc11d
c = 0x0178, r = 0x011e
c = 0x0179, r = 0x415e
c = 0x017a, r = 0x81de
c = 0x017b, r = 0xc19e
c = 0x017c, r = 0x019f
c = 0x017d, r = 0x41df
c = 0x017e, r = 0x815f
c = 0x017f, r = 0xc11f
c = 0x0180, r = 0x2130
c = 0x0181, r = 0x6160
c = 0x0182, r = 0xe1f0
c = 0x0183, r = 0xa1a0
c = 0x0184, r = 0xa1b1
c = 0x0185, r = 0xe1e1
c = 0x0186, r = 0x6171
c = 0x0187, r = 0x2121
c = 0x0188, r = 0x2333
c = 0x0189, r = 0x6363
c = 0x018a, r = 0xe3f3
c = 0x018b, r = 0xa3a3
c = 0x018c, r = 0xa3b2
c = 0x018d, r = 0xe3e2
c = 0x018e, r = 0x6372
c = 0x018f, r = 0x2322
c = 0x0190, r = 0x2436
c = 0x0191, r = 0x6566
c = 0x0192, r = 0xe4f6
c = 0x0193, r = 0xa5a6
c = 0x0194, r = 0xa4b7
c = 0x0195, r = 0xe5e7
c = 0x0196, r = 0x6477
c = 0x0197, r = 0x2527
c = 0x0198, r = 0x2635
c = 0x0199, r = 0x6765
c = 0x019a, r = 0xe6f5
c = 0x019b, r = 0xa7a5
c = 0x019c, r = 0xa6b4
c = 0x019d, r = 0xe7e4
c = 0x019e, r = 0x6674
c = 0x019f, r = 0x2724
c = 0x01a0, r = 0x293c
c = 0x01a1, r = 0x696c
c = 0x01a2, r = 0xe9fc
c = 0x01a3, r = 0xa9ac
c = 0x01a4, r = 0xa9bd
c = 0x01a5, r = 0xe9ed
c = 0x01a6, r = 0x697d
c = 0x01a7, r = 0x292d
c = 0x01a8, r = 0x2b3f
c = 0x01a9, r = 0x6b6f
c = 0x01aa, r = 0xebff
c = 0x01ab, r = 0xabaf
c = 0x01ac, r = 0xabbe
c = 0x01ad, r = 0xebee
c = 0x01ae, r = 0x6b7e
c = 0x01af, r = 0x2b2e
c = 0x01b0, r = 0x2c3a
c = 0x01b1, r = 0x6d6a
c = 0x01b2, r = 0xecfa
c = 0x01b3, r = 0xadaa
c = 0x01b4, r = 0xacbb
c = 0x01b5, r = 0xedeb
c = 0x01b6, r = 0x6c7b
c = 0x01b7, r = 0x2d2b
c = 0x01b8, r = 0x2e39
c = 0x01b9, r = 0x6f69
c = 0x01ba, r = 0xeef9
c = 0x01bb, r = 0xafa9
c = 0x01bc, r = 0xaeb8
c = 0x01bd, r = 0xefe8
c = 0x01be, r = 0x6e78
c = 0x01bf, r = 0x2f28
c = 0x01c0, r = 0x3128
c = 0x01c1, r = 0x7178
c = 0x01c2, r = 0xf1e8
c = 0x01c3, r = 0xb1b8
c = 0x01c4, r = 0xb1a9
c = 0x01c5, r = 0xf1f9
c = 0x01c6, r = 0x7169
c = 0x01c7, r = 0x3139
c = 0x01c8, r = 0x332b
c = 0x01c9, r = 0x737b
c = 0x01ca, r = 0xf3eb
c = 0x01cb, r = 0xb3bb
c = 0x01cc, r = 0xb3aa
c = 0x01cd, r = 0xf3fa
c = 0x01ce, r = 0x736a
c = 0x01cf, r = 0x333a
c = 0x01d0, r = 0x352e
c = 0x01d1, r = 0x747e
c = 0x01d2, r = 0xf5ee
c = 0x01d3, r = 0xb4be
c = 0x01d4, r = 0xb5af
c = 0x01d5, r = 0xf4ff
c = 0x01d6, r = 0x756f
c = 0x01d7, r = 0x343f
c = 0x01d8, r = 0x372d
c = 0x01d9, r = 0x767d
c = 0x01da, r = 0xf7ed
c = 0x01db, r = 0xb6bd
c = 0x01dc, r = 0xb7ac
c = 0x01dd, r = 0xf6fc
c = 0x01de, r = 0x776c
c = 0x01df, r = 0x363c
c = 0x01e0, r = 0x3924
c = 0x01e1, r = 0x7974
c = 0x01e2, r = 0xf9e4
c = 0x01e3, r = 0xb9b4
c = 0x01e4, r = 0xb9a5
c = 0x01e5, r = 0xf9f5
c = 0x01e6, r = 0x7965
c = 0x01e7, r = 0x3935
c = 0x01e8, r = 0x3b27
c = 0x01e9, r = 0x7b77
c = 0x01ea, r = 0xfbe7
c = 0x01eb, r = 0xbbb7
c = 0x01ec, r = 0xbba6
c = 0x01ed, r = 0xfbf6
c = 0x01ee, r = 0x7b66
c = 0x01ef, r = 0x3b36
c = 0x01f0, r = 0x3d22
c = 0x01f1, r = 0x7c72
c = 0x01f2, r = 0xfde2
c = 0x01f3, r = 0xbcb2
c = 0x01f4, r = 0xbda3
c = 0x01f5, r = 0xfcf3
c = 0x01f6, r = 0x7d63
c = 0x01f7, r = 0x3c33
c = 0x01f8, r = 0x3f21
c = 0x01f9, r = 0x7e71
c = 0x01fa, r = 0xffe1
c = 0x01fb, r = 0xbeb1
c = 0x01fc, r = 0xbfa0
c = 0x01fd, r = 0xfef0
c = 0x01fe, r = 0x7f60
c = 0x01ff, r = 0x3e30
c = 0x0200, r = 0x0180
c = 0x0201, r = 0x8100
c = 0x0202, r = 0x0101
c = 0x0203, r = 0x8181
c = 0x0204, r = 0x0182
c = 0x0205, r = 0x8102
c = 0x0206, r = 0x0103
c = 0x0207, r = 0x8183
c = 0x0208, r = 0x0184
c = 0x0209, r = 0x8104
c = 0x020a, r = 0x0105
c = 0x020b, r = 0x8185
c = 0x020c, r = 0x0186
c = 0x020d, r = 0x8106
c = 0x020e, r = 0x0107
c = 0x020f, r = 0x8187
c = 0x0210, r = 0x0188
c = 0x0211, r = 0x8108
c = 0x0212, r = 0x0109
c = 0x0213, r = 0x8189
c = 0x0214, r = 0x018a
c = 0x0215, r = 0x810a
c = 0x0216, r = 0x010b
c = 0x0217, r = 0x818b
c = 0x0218, r = 0x018c
c = 0x0219, r = 0x810c
c = 0x021a, r = 0x010d
c = 0x021b, r = 0x818d
c = 0x021c, r = 0x018e
c = 0x021d, r = 0x810e
c = 0x021e, r = 0x010f
c = 0x021f, r = 0x818f
c = 0x0220, r = 0x0190
c = 0x0221, r = 0x8110
c = 0x0222, r = 0x0111
c = 0x0223, r = 0x8191
c = 0x0224, r = 0x0192
c = 0x0225, r = 0x8112
c = 0x0226, r = 0x0113
c = 0x0227, r = 0x8193
c = 0x0228, r = 0x0194
c = 0x0229, r = 0x8114
c = 0x022a, r = 0x0115
c = 0x022b, r = 0x8195
c = 0x022c, r = 0x0196
c = 0x022d, r = 0x8116
c = 0x022e, r = 0x0117
c = 0x022f, r = 0x8197
c = 0x0230, r = 0x0198
c = 0x0231, r = 0x8118
c = 0x0232, r = 0x0119
c = 0x0233, r = 0x8199
